crop,month_index,price_bdt_per_kg
rice,0,32.05
rice,1,35.59
rice,2,36.54
rice,3,34.38
rice,4,34.35
rice,5,32.96
rice,6,33.15
rice,7,30.77
rice,8,30.92
rice,9,26.68
rice,10,32.25
rice,11,30.91
rice,12,33.62
rice,13,33.95
rice,14,34.73
rice,15,36.44
rice,16,36.63
rice,17,34.05
rice,18,32.67
rice,19,32.48
rice,20,29.1
rice,21,27.78
rice,22,31.09
rice,23,30.64
rice,24,30.32
rice,25,33.53
rice,26,35.2
rice,27,34.56
rice,28,33.76
rice,29,35.0
rice,30,34.85
rice,31,31.7
rice,32,29.89
rice,33,31.23
rice,34,32.18
rice,35,31.8
maize,0,22.82
maize,1,25.11
maize,2,24.39
maize,3,23.93
maize,4,25.32
maize,5,24.12
maize,6,23.95
maize,7,18.92
maize,8,18.81
maize,9,18.19
maize,10,17.3
maize,11,21.24
maize,12,23.39
maize,13,23.04
maize,14,27.38
maize,15,26.98
maize,16,26.34
maize,17,24.95
maize,18,24.33
maize,19,19.45
maize,20,21.32
maize,21,20.95
maize,22,17.85
maize,23,22.17
maize,24,22.82
maize,25,25.92
maize,26,25.24
maize,27,26.32
maize,28,26.51
maize,29,23.64
maize,30,24.4
maize,31,21.89
maize,32,21.74
maize,33,19.87
maize,34,22.73
maize,35,23.16
cotton,0,64.73
cotton,1,67.5
cotton,2,69.59
cotton,3,70.84
cotton,4,65.44
cotton,5,68.07
cotton,6,66.0
cotton,7,63.71
cotton,8,61.29
cotton,9,64.34
cotton,10,61.01
cotton,11,64.9
cotton,12,67.55
cotton,13,64.75
cotton,14,67.84
cotton,15,66.79
cotton,16,68.76
cotton,17,69.62
cotton,18,68.94
cotton,19,61.78
cotton,20,62.54
cotton,21,64.11
cotton,22,65.87
cotton,23,65.28
cotton,24,65.08
cotton,25,68.2
cotton,26,68.87
cotton,27,69.04
cotton,28,67.9
cotton,29,68.53
cotton,30,66.96
cotton,31,64.91
cotton,32,63.67
cotton,33,61.72
cotton,34,63.37
cotton,35,67.06
jute,0,39.71
jute,1,39.39
jute,2,44.7
jute,3,43.95
jute,4,45.96
jute,5,41.84
jute,6,39.61
jute,7,36.68
jute,8,39.79
jute,9,41.3
jute,10,36.67
jute,11,38.08
jute,12,41.49
jute,13,40.9
jute,14,42.89
jute,15,43.23
jute,16,43.69
jute,17,43.99
jute,18,40.93
jute,19,40.83
jute,20,37.77
jute,21,38.54
jute,22,35.29
jute,23,37.48
jute,24,42.39
jute,25,41.86
jute,26,44.77
jute,27,45.16
jute,28,45.98
jute,29,44.17
jute,30,43.03
jute,31,39.88
jute,32,37.95
jute,33,37.55
jute,34,38.37
jute,35,38.56
banana,0,17.18
banana,1,19.41
banana,2,21.08
banana,3,20.64
banana,4,17.91
banana,5,19.64
banana,6,18.64
banana,7,18.48
banana,8,16.67
banana,9,14.48
banana,10,14.82
banana,11,20.07
banana,12,19.73
banana,13,22.9
banana,14,24.49
banana,15,20.52
banana,16,21.98
banana,17,21.04
banana,18,19.74
banana,19,18.26
banana,20,16.71
banana,21,16.31
banana,22,14.25
banana,23,17.4
banana,24,18.08
banana,25,20.94
banana,26,21.2
banana,27,23.28
banana,28,23.23
banana,29,21.41
banana,30,19.97
banana,31,18.19
banana,32,16.33
banana,33,16.4
banana,34,16.36
banana,35,18.83
mango,0,55.02
mango,1,57.42
mango,2,55.71
mango,3,59.48
mango,4,56.65
mango,5,55.65
mango,6,55.0
mango,7,53.0
mango,8,53.24
mango,9,51.59
mango,10,51.3
mango,11,52.78
mango,12,57.57
mango,13,57.22
mango,14,56.55
mango,15,58.76
mango,16,56.06
mango,17,60.03
mango,18,53.61
mango,19,55.17
mango,20,54.22
mango,21,50.87
mango,22,53.95
mango,23,56.15
mango,24,56.9
mango,25,58.14
mango,26,60.32
mango,27,59.59
mango,28,59.5
mango,29,57.76
mango,30,57.45
mango,31,53.64
mango,32,55.19
mango,33,52.89
mango,34,52.47
mango,35,55.8
coffee,0,222.54
coffee,1,222.99
coffee,2,221.92
coffee,3,224.2
coffee,4,222.12
coffee,5,221.56
coffee,6,220.43
coffee,7,215.37
coffee,8,218.09
coffee,9,215.91
coffee,10,216.86
coffee,11,216.84
coffee,12,218.33
coffee,13,220.74
coffee,14,224.54
coffee,15,226.25
coffee,16,223.36
coffee,17,223.99
coffee,18,220.5
coffee,19,216.58
coffee,20,218.63
coffee,21,218.72
coffee,22,217.86
coffee,23,220.1
coffee,24,222.06
coffee,25,221.45
coffee,26,221.68
coffee,27,224.02
coffee,28,223.68
coffee,29,222.42
coffee,30,222.98
coffee,31,222.64
coffee,32,218.38
coffee,33,219.7
coffee,34,220.51
coffee,35,221.32
coconut,0,36.57
coconut,1,35.97
coconut,2,38.81
coconut,3,41.19
coconut,4,39.0
coconut,5,35.82
coconut,6,36.21
coconut,7,35.74
coconut,8,33.36
coconut,9,31.6
coconut,10,35.22
coconut,11,32.18
coconut,12,36.36
coconut,13,37.13
coconut,14,36.51
coconut,15,40.58
coconut,16,38.92
coconut,17,35.6
coconut,18,36.8
coconut,19,33.8
coconut,20,30.55
coconut,21,32.02
coconut,22,33.9
coconut,23,35.6
coconut,24,36.45
coconut,25,37.82
coconut,26,39.6
coconut,27,39.03
coconut,28,40.76
coconut,29,38.17
coconut,30,36.94
coconut,31,35.86
coconut,32,32.42
coconut,33,32.59
coconut,34,36.39
coconut,35,35.75
